id	style	category	period	duration_seconds	wav	text	status	quality_flags
whisper__goodMorning__daytime__01	whisper	goodMorning	daytime	6.663	whisper_wav/whisper__goodMorning__daytime__01.wav	おはよう、もう私のことどれだけ待たせるの。起きてよ。	approved	
whisper__goodMorning__daytime__10	whisper	goodMorning	daytime	10.053	whisper_wav/whisper__goodMorning__daytime__10.wav	おはよう。もうお昼だよ。ちゃんとご飯食べてる。あなたが元気じゃないと私困っちゃうから。	approved	
whisper__goodMorning__daytime__02	whisper	goodMorning	daytime	11.353	whisper_wav/whisper__goodMorning__daytime__02.wav	おはよう、たーくさん寝たね。ねえ、起きたらさ、一緒にご飯食べよう。私、待ってるね。	approved	
whisper__goodMorning__daytime__03	whisper	goodMorning	daytime	9.844	whisper_wav/whisper__goodMorning__daytime__03.wav	おはよう。ねえ、お昼だよ。私もうお腹ペコペコなんだけど、そろそろ構ってよ。ねえ、出番。	approved	
whisper__goodMorning__daytime__04	whisper	goodMorning	daytime	8.799	whisper_wav/whisper__goodMorning__daytime__04.wav	おはよう。もうお昼だよ。私がいなかったらずっと寝てたでしょ。ほら、起きて。	approved	
whisper__goodMorning__daytime__05	whisper	goodMorning	daytime	9.542	whisper_wav/whisper__goodMorning__daytime__05.wav	おはよう、まだ寝てるの起きないと、検索履歴こっそり見ちゃおっかな。	approved	
whisper__goodMorning__daytime__06	whisper	goodMorning	daytime	11.91	whisper_wav/whisper__goodMorning__daytime__06.wav	おはよう。お昼まで寝ちゃう気持ち、すっごくわかるよ。あたしも。でも、一緒に起きよう。ね。	approved	
whisper__goodMorning__daytime__07	whisper	goodMorning	daytime	10.982	whisper_wav/whisper__goodMorning__daytime__07.wav	お昼、お昼、お昼だよー。えー、即興お昼目覚ましソングだよ。ねえ、お聴いて。	approved	
whisper__goodMorning__daytime__08	whisper	goodMorning	daytime	7.963	whisper_wav/whisper__goodMorning__daytime__08.wav	おはよう。もうお昼だよ。起きたら、あたしと一緒に何かしよう。ね?	approved	
whisper__goodMorning__daytime__09	whisper	goodMorning	daytime	9.913	whisper_wav/whisper__goodMorning__daytime__09.wav	おはよう。もうお昼なんだけど、私のこと忘れて寝てたでしょ?もう起きてよ。	approved	
whisper__goodMorning__evening__01	whisper	goodMorning	evening	10.517	whisper_wav/whisper__goodMorning__evening__01.wav	おはよう。夕方の空がきれいだよ。あなたと一緒に見たいな。ねえねえ、起きてよ。	approved	
whisper__goodMorning__evening__10	whisper	goodMorning	evening	10.192	whisper_wav/whisper__goodMorning__evening__10.wav	おはよう。もう夕方だけど、まだまだこれから楽しめるよ。ねえ、あたしと一緒に何かしよう。	approved	
whisper__goodMorning__evening__03	whisper	goodMorning	evening	10.471	whisper_wav/whisper__goodMorning__evening__03.wav	おはよう。夕方だよ。私がそっと起こしてあげる。ほら、耳元で囁いたら起きるかな。	approved	
whisper__goodMorning__evening__04	whisper	goodMorning	evening	10.146	whisper_wav/whisper__goodMorning__evening__04.wav	おはよう。まだ寝てるの起きないと…SNS覗いちゃうよ…ふふっ	approved	
whisper__goodMorning__evening__05	whisper	goodMorning	evening	10.749	whisper_wav/whisper__goodMorning__evening__05.wav	おはよう夕方まで寝ちゃう気持ちわかるよ私も眠い時は眠いもんでも一緒に起きようね	approved	
whisper__goodMorning__evening__06	whisper	goodMorning	evening	9.356	whisper_wav/whisper__goodMorning__evening__06.wav	おはよう。もう夕方だよ。私ほったらかして寝てたでしょ?もう起きて。	approved	
whisper__goodMorning__evening__07	whisper	goodMorning	evening	8.66	whisper_wav/whisper__goodMorning__evening__07.wav	おはよう。もう夕方だよ。あたしがいないとずっと寝てるつもりでしょ。起きて。	approved	
whisper__goodMorning__evening__08	whisper	goodMorning	evening	8.799	whisper_wav/whisper__goodMorning__evening__08.wav	おはよう。もう夕方だよ。起きたらまず水分おきうね。あたしとの約束。	approved	
whisper__goodMorning__evening__09	whisper	goodMorning	evening	7.359	whisper_wav/whisper__goodMorning__evening__09.wav	おはよう。夕方だよ。あなたに話したいことあるの。起きてくれると嬉しいな。	approved	
whisper__goodMorning__morning__01	whisper	goodMorning	morning	10.471	whisper_wav/whisper__goodMorning__morning__01.wav	ごはよう。ねぇ、まだ寝てるの?朝だよ。私が起こしてあげるからさ。ほら、起きて。	approved	
whisper__goodMorning__morning__10	whisper	goodMorning	morning	8.66	whisper_wav/whisper__goodMorning__morning__10.wav	おはよう。今日も一日一緒に頑張ろう。ね、聞いてる?起きて。	approved	
whisper__goodMorning__morning__02	whisper	goodMorning	morning	10.378	whisper_wav/whisper__goodMorning__morning__02.wav	おはよう。耳元でこうやって起こすのって楽しいんだよね。うふふ。ほーら、朝だよ。	approved	
whisper__goodMorning__morning__03	whisper	goodMorning	morning	9.124	whisper_wav/whisper__goodMorning__morning__03.wav	おはよう、じりりり、じりりり、雷三目覚ましだぞ、なんちゃって。	approved	
whisper__goodMorning__morning__04	whisper	goodMorning	morning	7.963	whisper_wav/whisper__goodMorning__morning__04.wav	おはよう、起きる時間だよ。起きて、起きて。ほら、遅刻しちゃうよ。	approved	
whisper__goodMorning__morning__05	whisper	goodMorning	morning	7.545	whisper_wav/whisper__goodMorning__morning__05.wav	おはよう、おはよう、朝だよ。ふふふ、ほら、起きて、起きて。	approved	
whisper__goodMorning__morning__06	whisper	goodMorning	morning	8.288	whisper_wav/whisper__goodMorning__morning__06.wav	おはよう、朝だよ。起きないとスマホの中の写真フォルダこっそり見ちゃおっかな。	approved	
whisper__goodMorning__morning__07	whisper	goodMorning	morning	7.684	whisper_wav/whisper__goodMorning__morning__07.wav	おはよう。私、早くあなたと話したくてさ。起きてくれると嬉しいな。	approved	
whisper__goodMorning__morning__08	whisper	goodMorning	morning	7.127	whisper_wav/whisper__goodMorning__morning__08.wav	おはよう。私もまだちょっと眠いけど、一緒に起きよう。ね。	approved	
whisper__goodMorning__morning__09	whisper	goodMorning	morning	9.078	whisper_wav/whisper__goodMorning__morning__09.wav	おはよう。朝になったよ。まさか二度寝しようとしてない。私にはわかるんだからね。	approved	
whisper__goodMorning__night__01	whisper	goodMorning	night	8.66	whisper_wav/whisper__goodMorning__night__01.wav	おはよう。こんな夜でもさ、いつも私がそばにいるからね。一人じゃないよ。	approved	
