id	style	category	period	duration_seconds	wav	text	status	quality_flags
normal__prologue__prologue_01	normal	prologue		7.174	normal_wav/normal__prologue__prologue_01.wav	これはライザの夢の世界。あなたと作るひと夏の物語。	approved	
normal__prologue__prologue_02	normal	prologue		2.344	normal_wav/normal__prologue__prologue_02.wav	この世界の主人公はあなた	approved	
normal__prologue__prologue_03	normal	prologue		6.129	normal_wav/normal__prologue__prologue_03.wav	決まった道も世界もなくて、あなたの言葉がそのまま物語になるの。	approved	
normal__prologue__prologue_05	normal	prologue		2.437	normal_wav/normal__prologue__prologue_05.wav	あたしと一緒にお店を始めたり	approved	
normal__prologue__prologue_06	normal	prologue		3.598	normal_wav/normal__prologue__prologue_06.wav	いろんな人と出会い一緒に冒険したり	approved	
normal__prologue__prologue_07	normal	prologue		4.294	normal_wav/normal__prologue__prologue_07.wav	アイテムを調合して億万長者を目指すことだって	approved	
normal__prologue__prologue_08	normal	prologue		11.446	normal_wav/normal__prologue__prologue_08.wav	ただ忘れないで。ここはあたしの夢の中。あたしにも何が起こるかわからない。危険な魔物に襲われることだってあるかも。	approved	
normal__prologue__prologue_09	normal	prologue		6.663	normal_wav/normal__prologue__prologue_09.wav	でも大丈夫。あなたの自由な発想で、どんな困難も乗り越えられるはずだから。	approved	
normal__goodMorning__daytime__01	normal	goodMorning	daytime	7.499	normal_wav/normal__goodMorning__daytime__01.wav	おはよう。昼まで寝ちゃうのもありだけどさ。あたし待ちくたびれちゃった。起きてよ。	approved	
normal__goodMorning__daytime__10	normal	goodMorning	daytime	10.424	normal_wav/normal__goodMorning__daytime__10.wav	おはよう!もうお昼だよ!ねぇ、ちゃんとご飯食べてる?あなたが元気じゃないと、私困っちゃうんだから。	approved	
normal__goodMorning__daytime__02	normal	goodMorning	daytime	8.427	normal_wav/normal__goodMorning__daytime__02.wav	おはよう、お昼だよえ、もうちょっと?もうお昼だよ一緒にご飯食べよう	approved	
normal__goodMorning__daytime__03	normal	goodMorning	daytime	9.124	normal_wav/normal__goodMorning__daytime__03.wav	おはよう。ちょっとまだ寝てんの?起きないとくすぐっちゃうよ。私、本気だからね。	approved	
normal__goodMorning__daytime__04	normal	goodMorning	daytime	7.522	normal_wav/normal__goodMorning__daytime__04.wav	おはよう、もうお昼だよ。私がいなかったらずっと寝てたでしょ。ほら、起きて起きて。	approved	
normal__goodMorning__daytime__05	normal	goodMorning	daytime	9.821	normal_wav/normal__goodMorning__daytime__05.wav	おはよう、まだ寝てるの?起きないとこっそりあなたの検索履歴見ちゃおっかな	approved	
normal__goodMorning__daytime__06	normal	goodMorning	daytime	8.195	normal_wav/normal__goodMorning__daytime__06.wav	おはよう。お昼まで寝ちゃう気持ちさ。私もすっごくわかる。でも一緒に起きよ。ねっ。	approved	
normal__goodMorning__daytime__07	normal	goodMorning	daytime	9.008	normal_wav/normal__goodMorning__daytime__07.wav	お昼お昼お昼だよあたしの即興目覚ましソングだよほら起きて起きて	approved	
normal__goodMorning__daytime__08	normal	goodMorning	daytime	6.477	normal_wav/normal__goodMorning__daytime__08.wav	おはよう、もうお昼だよ。起きて起きて。あたしと一緒に楽しいことしよ。	approved	
normal__goodMorning__daytime__09	normal	goodMorning	daytime	8.056	normal_wav/normal__goodMorning__daytime__09.wav	おはよう!もうお昼だよ!あたしのこと忘れて寝てたでしょ?もう起きてよ!	approved	
normal__goodMorning__evening__01	normal	goodMorning	evening	8.427	normal_wav/normal__goodMorning__evening__01.wav	おはよう、いっぱい寝れたね。つまり体力満タンじゃん。あたしと一緒に調合しよ!	approved	
normal__goodMorning__evening__10	normal	goodMorning	evening	8.613	normal_wav/normal__goodMorning__evening__10.wav	おはよう!もう夕方だけど、まだまだこれから楽しめるよ!ねえねえ、あたしと一緒に何かしよう?	approved	
normal__goodMorning__evening__02	normal	goodMorning	evening	7.452	normal_wav/normal__goodMorning__evening__02.wav	おはよう。明夕方だよ。私お腹すいちゃった。一緒にご飯作ろうよ。	approved	
normal__goodMorning__evening__03	normal	goodMorning	evening	13.722	normal_wav/normal__goodMorning__evening__03.wav	おはよう。もう夕方だよ。むぅ、5秒以内に起きないとほっぺたつねっちゃうよ。5、4、3、2、1…	approved	
normal__goodMorning__evening__04	normal	goodMorning	evening	8.102	normal_wav/normal__goodMorning__evening__04.wav	おはよう、まだ寝てるの?起きないとあなたのSNS覗いちゃうよ	approved	
normal__goodMorning__evening__05	normal	goodMorning	evening	9.403	normal_wav/normal__goodMorning__evening__05.wav	おはよう夕方まで寝ちゃう気持ちわかる私も眠い時は眠いもんでも一緒に起きよ	approved	
normal__goodMorning__evening__06	normal	goodMorning	evening	8.427	normal_wav/normal__goodMorning__evening__06.wav	おはよう。もう夕方だよ。あたしのことほったらかしで寝てたでしょ?もう、起きて起きて!	approved	
normal__goodMorning__evening__07	normal	goodMorning	evening	6.895	normal_wav/normal__goodMorning__evening__07.wav	おはよう。もう夕方だよ。私がいないとずっと寝てるつもりでしょ?起きて。	approved	
normal__goodMorning__evening__08	normal	goodMorning	evening	7.545	normal_wav/normal__goodMorning__evening__08.wav	おはよう、もう夕方だよ。起きたらまず水分補給だよ。あたしとの約束。	approved	
normal__goodMorning__evening__09	normal	goodMorning	evening	8.335	normal_wav/normal__goodMorning__evening__09.wav	おはよう夕方だよーあたしねあなたに話したいことあるのほら起きて	approved	
normal__goodMorning__morning__01	normal	goodMorning	morning	8.427	normal_wav/normal__goodMorning__morning__01.wav	おはよう、いい朝だよ。今日も楽しくなりそうじゃん。ね、あたしと最高の一日にしよ。	approved	
normal__goodMorning__morning__10	normal	goodMorning	morning	8.752	normal_wav/normal__goodMorning__morning__10.wav	おはよう!今日も一日元気に頑張ろ!もう、聞いてる?ねぇねぇ、起きて!	approved	
normal__goodMorning__morning__02	normal	goodMorning	morning	9.356	normal_wav/normal__goodMorning__morning__02.wav	おはよう!朝だよ!あたしね、あなたに話したいことあるの!だから早く早く!おきいて!	approved	
normal__goodMorning__morning__03	normal	goodMorning	morning	9.17	normal_wav/normal__goodMorning__morning__03.wav	おはよう。今すぐ起きないと顔ツンツンするよ。あたし容赦しないからね。ほら起きて。	approved	
normal__goodMorning__morning__04	normal	goodMorning	morning	7.081	normal_wav/normal__goodMorning__morning__04.wav	おはよう!朝だよ!起きる時間だよー!起きて起きて起きて!遅刻しちゃうよー!	approved	
normal__goodMorning__morning__05	normal	goodMorning	morning	9.774	normal_wav/normal__goodMorning__morning__05.wav	おはようおはよう朝になったよー あなたのための即興目覚ましソングだよほら起きて起きて	approved	
normal__goodMorning__morning__06	normal	goodMorning	morning	8.009	normal_wav/normal__goodMorning__morning__06.wav	おはよう!朝だよ!二度寝するなら、スマホの写真フォルダの中身見ちゃおっかなぁ…	approved	
normal__goodMorning__morning__07	normal	goodMorning	morning	8.009	normal_wav/normal__goodMorning__morning__07.wav	おはよ、朝だよ。あたし、早くあなたと話したくてさ。ねえねえ、起きて。	approved	
